,Transaction ID,Item,Quantity,Price Per Unit,Total Spent,Payment Method,Location,Transaction Date
0,TXN_1961373,Coffee,2.0,2.0,4.0,Credit Card,Takeaway,2023-09-08
1,TXN_4977031,Cake,4.0,3.0,12.0,Cash,In-store,2023-05-16
2,TXN_4271903,Cookie,4.0,1.0,4.0,Credit Card,In-store,2023-07-19
3,TXN_7034554,Salad,2.0,5.0,10.0,Digital Wallet,In-store,2023-04-27
4,TXN_3160411,Coffee,2.0,2.0,4.0,Digital Wallet,In-store,2023-06-11
5,TXN_2602893,Smoothie,5.0,4.0,20.0,Credit Card,Takeaway,2023-03-31
6,TXN_6699534,Sandwich,4.0,4.0,16.0,Cash,Takeaway,2023-10-28
7,TXN_2064365,Sandwich,5.0,4.0,20.0,Cash,In-store,2023-12-31
8,TXN_2548360,Salad,5.0,5.0,25.0,Cash,Takeaway,2023-11-07
9,TXN_3051279,Sandwich,2.0,4.0,8.0,Credit Card,Takeaway,2023-05-03
10,TXN_7619095,Sandwich,2.0,4.0,8.0,Cash,In-store,2023-05-03
11,TXN_9437049,Cookie,5.0,1.0,5.0,Credit Card,Takeaway,2023-06-01
12,TXN_8915701,Tea,2.0,1.5,3.0,Credit Card,In-store,2023-03-21
13,TXN_2847255,Salad,3.0,5.0,15.0,Credit Card,In-store,2023-11-15
14,TXN_3765707,Sandwich,1.0,4.0,4.0,Cash,In-store,2023-06-10
15,TXN_6769710,Juice,2.0,3.0,6.0,Cash,In-store,2023-02-24
16,TXN_8876618,Cake,5.0,3.0,15.0,Cash,Takeaway,2023-03-25
17,TXN_3709394,Juice,4.0,3.0,12.0,Cash,Takeaway,2023-01-15
18,TXN_3522028,Smoothie,5.0,4.0,20.0,Cash,In-store,2023-04-04
19,TXN_3567645,Smoothie,4.0,4.0,16.0,Credit Card,Takeaway,2023-03-30
20,TXN_5132361,Sandwich,3.0,4.0,12.0,Digital Wallet,Takeaway,2023-12-01
21,TXN_2616390,Sandwich,2.0,4.0,8.0,Cash,In-store,2023-09-18
22,TXN_9400181,Sandwich,5.0,4.0,20.0,Cash,In-store,2023-06-03
23,TXN_7958992,Smoothie,3.0,4.0,12.0,Credit Card,In-store,2023-12-13
24,TXN_5183041,Cookie,5.0,1.0,5.0,Credit Card,In-store,2023-04-20
25,TXN_5695074,Juice,4.0,3.0,12.0,Credit Card,Takeaway,2023-04-10
26,TXN_8467949,Smoothie,5.0,4.0,20.0,Credit Card,Takeaway,2023-03-11
27,TXN_7640952,Cake,4.0,3.0,12.0,Digital Wallet,Takeaway,2023-06-02
28,TXN_1736287,Coffee,5.0,2.0,10.0,Digital Wallet,In-store,2023-06-02
29,TXN_8927252,Cookie,2.0,1.0,2.0,Credit Card,In-store,2023-11-06
30,TXN_9677376,Smoothie,4.0,4.0,16.0,Cash,In-store,2023-08-15
31,TXN_7710508,Cookie,5.0,1.0,5.0,Cash,Takeaway,2023-10-09
32,TXN_8853997,Smoothie,2.0,4.0,8.0,Digital Wallet,Takeaway,2023-10-09
33,TXN_9130559,Sandwich,1.0,4.0,4.0,Credit Card,In-store,2023-05-28
34,TXN_1080432,Salad,2.0,5.0,10.0,Credit Card,In-store,2023-04-29
35,TXN_2655815,Smoothie,4.0,4.0,16.0,Cash,Takeaway,2023-06-08
36,TXN_6688524,Coffee,4.0,2.0,8.0,Cash,In-store,2023-06-29
37,TXN_2083138,Smoothie,3.0,4.0,12.0,Cash,In-store,2023-04-17
38,TXN_2427584,Sandwich,4.0,4.0,16.0,Cash,Takeaway,2023-12-22
39,TXN_6650263,Tea,2.0,1.5,3.0,Cash,Takeaway,2023-01-10
40,TXN_9620080,Juice,4.0,3.0,12.0,Cash,Takeaway,2023-10-02
41,TXN_1491578,Cookie,2.0,1.0,2.0,Cash,In-store,2023-02-23
42,TXN_5455792,Salad,3.0,5.0,15.0,Cash,In-store,2023-03-22
43,TXN_8078640,Juice,4.0,3.0,12.0,Digital Wallet,In-store,2023-11-03
44,TXN_9499313,Juice,5.0,3.0,15.0,Cash,Takeaway,2023-03-02
45,TXN_8201146,Juice,5.0,3.0,15.0,Cash,Takeaway,2023-06-26
46,TXN_8230936,Cake,3.0,3.0,9.0,Digital Wallet,Takeaway,2023-05-02
47,TXN_7742742,Cake,5.0,3.0,15.0,Digital Wallet,Takeaway,2023-09-05
48,TXN_6342161,Salad,5.0,5.0,25.0,Digital Wallet,Takeaway,2023-01-08
49,TXN_8914892,Salad,5.0,5.0,25.0,Digital Wallet,Takeaway,2023-03-15
50,TXN_3363746,Smoothie,3.0,4.0,12.0,Credit Card,Takeaway,2023-11-25
51,TXN_8614868,Smoothie,5.0,4.0,20.0,Digital Wallet,Takeaway,2023-12-05
52,TXN_5522862,Cookie,2.0,1.0,2.0,Credit Card,Takeaway,2023-03-19
53,TXN_3578141,Cake,5.0,3.0,15.0,Digital Wallet,Takeaway,2023-06-27
54,TXN_2080895,Cake,1.0,3.0,3.0,Digital Wallet,In-store,2023-04-19
55,TXN_6421134,Sandwich,4.0,4.0,16.0,Cash,Takeaway,2023-11-03
56,TXN_8813311,Juice,5.0,3.0,15.0,Cash,In-store,2023-10-07
57,TXN_9023317,Salad,1.0,5.0,5.0,Cash,In-store,2023-09-30
58,TXN_2537617,Sandwich,1.0,4.0,4.0,Cash,Takeaway,2023-05-27
59,TXN_9099694,Salad,3.0,5.0,15.0,Digital Wallet,Takeaway,2023-11-18
60,TXN_9230615,Smoothie,4.0,4.0,16.0,Digital Wallet,In-store,2023-06-01
61,TXN_4987129,Sandwich,3.0,4.0,12.0,Cash,In-store,2023-10-20
62,TXN_8501819,Juice,2.0,3.0,6.0,Cash,Takeaway,2023-03-30
63,TXN_3068204,Cookie,1.0,1.0,1.0,Credit Card,Takeaway,2023-10-03
64,TXN_8427104,Salad,2.0,5.0,10.0,Digital Wallet,In-store,2023-10-27
65,TXN_2621580,Tea,2.0,1.5,3.0,Cash,In-store,2023-03-22
66,TXN_4726376,Cake,2.0,3.0,6.0,Credit Card,In-store,2023-01-31
67,TXN_6044979,Cookie,1.0,1.0,1.0,Cash,In-store,2023-12-08
68,TXN_4238417,Salad,2.0,5.0,10.0,Credit Card,Takeaway,2023-06-19
69,TXN_1900620,Smoothie,2.0,4.0,8.0,Credit Card,Takeaway,2023-12-14
70,TXN_6420335,Coffee,1.0,2.0,2.0,Cash,Takeaway,2023-07-16
71,TXN_3858209,Sandwich,4.0,4.0,16.0,Cash,In-store,2023-02-22
72,TXN_2091733,Salad,1.0,5.0,5.0,Cash,In-store,2023-06-02
73,TXN_8735480,Tea,5.0,1.5,7.5,Cash,In-store,2023-06-02
74,TXN_3829165,Juice,4.0,3.0,12.0,Cash,In-store,2023-06-15
75,TXN_3748616,Coffee,2.0,2.0,4.0,Credit Card,In-store,2023-12-09
76,TXN_1993289,Sandwich,2.0,4.0,8.0,Cash,In-store,2023-04-18
77,TXN_2123367,Cookie,2.0,1.0,2.0,Cash,In-store,2023-11-07
78,TXN_5266394,Cake,3.0,3.0,9.0,Cash,In-store,2023-10-28
79,TXN_5107946,Cake,4.0,3.0,12.0,Credit Card,Takeaway,2023-12-22
